,id,Title,Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
52,52,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,4,4,3,4,4,4,3.857142857142857
53,53,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2,3,3,2,3,2,2,2.4285714285714284
59,59,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
61,61,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,1,1,1,1,1,1,1,1.0
64,64,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,2,1,1,1,2,1,1.2857142857142858
65,65,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,1,2,1,1,1,2,1,1.2857142857142858
66,66,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,3,4,4,4,3,4,3.7142857142857144
68,68,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,2,3,2,3,2.5714285714285716
69,69,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,3,3,3,3,3,3,3.142857142857143
70,70,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,4,4,3.857142857142857
72,72,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,3,4,3,4,3.5714285714285716
73,73,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,2,3,2,3,3,3,2.7142857142857144
74,74,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,3,4,4,4,3,4,3.7142857142857144
75,75,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2,2,1,1,2,2,1,1.5714285714285714
76,76,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,3,4,3,3,3.4285714285714284
77,77,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,3,3,3,3,3,2.857142857142857
80,80,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
81,81,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,3,4,4,4,4,4,3.857142857142857
84,84,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,4,3,2,3,3,3,2.857142857142857
87,87,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,2,1,1,1,1,1,1.1428571428571428
90,90,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3,3,4,3,3,3,3,3.142857142857143
91,91,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,1,1,1,1,1,1,1,1.0
92,92,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,3,2,2,2,2,2.2857142857142856
97,97,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,3,4,4,4,4,4,3.857142857142857
98,98,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,2,2,3,2,2,2,2,2.142857142857143
103,103,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,4,4,4,4,4,4,4.0
106,106,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,1,2,1,1,1,2,1,1.2857142857142858
107,107,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3,4,3,2,4,4,4,3.4285714285714284
112,112,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,3,2,2,3,3,2,2.4285714285714284
114,114,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,5,5,4,5,4.714285714285714
115,115,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,5,5,5,5,5,5,5.0
116,116,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,5,4,5,5,5,4,5,4.714285714285714
119,119,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3,4,4,2,3,3,3,3.142857142857143
122,122,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,1,3,2,1,2,3,3,2.142857142857143
123,123,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3,4,4,4,4,4,4,3.857142857142857
124,124,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,3,3,4,3,3,3.2857142857142856
125,125,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,4,4,5,4,5,4.428571428571429
129,129,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,1,2,1,1,2,2,2,1.5714285714285714
131,131,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,3,4,4,4,3,4,3.7142857142857144
132,132,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,1,2,1,1,1,2,1,1.2857142857142858
140,140,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,1,4,4,1,3,3,1,2.4285714285714284
142,142,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,5,4,5,4.714285714285714
144,144,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,1,3,3,1,2,2,1,1.8571428571428572
147,147,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,4,3,3,4,4,4,3.7142857142857144
148,148,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,5,4,5,5,5,4,5,4.714285714285714
150,150,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,1,1,1,1,1,1,1,1.0
151,151,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,3,2,3,2,3,2.857142857142857
152,152,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,5,5,4,5,5,5,4.714285714285714
155,155,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,3,5,5,4,4,5,4.428571428571429
156,156,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,2,1,1,2,2,1,1.5714285714285714
165,165,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,3,5,5,4,4,5,4.428571428571429
166,166,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,5,5,5,5,5,5,4.857142857142857
167,167,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,2,3,3,3,3,3.0
172,172,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2,2,2,2,2,2,2,2.0
173,173,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,1,1,1,1,1,1,1,1.0
174,174,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,3,3,2,3,3,3,2.7142857142857144
175,175,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,1,1,1,1,1,1,1,1.0
176,176,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,3,4,4,4,3,4,3.7142857142857144
178,178,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,3,3,4,4,4,3.5714285714285716
180,180,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3,4,4,4,4,3,4,3.7142857142857144
181,181,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,5,4,5,5,5,4,5,4.714285714285714
182,182,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,3,4,4,4,4,4,3.857142857142857
184,184,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,1,1,1,1,1,1,1.0
185,185,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,1,3,3,2,2,3,2,2.2857142857142856
187,187,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,3,3,3,2,3,3,2,2.7142857142857144
190,190,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,4,4,4,4,4,4,4.0
191,191,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,1,2,1,1,1,1,1,1.1428571428571428
