,id,Title,Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
100,100,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,4,3,3,4,4,4,3.4285714285714284
101,101,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,1,1,1,1,1,1,1.0
102,102,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,4,4,4,3,4,3.7142857142857144
104,104,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,2,2,2,2,2,2,2.0
105,105,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,5,4,5,5,5,4,5,4.714285714285714
108,108,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
109,109,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,2,3,3,3,2,3,2.7142857142857144
110,110,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,3,3,4,3,3,3.2857142857142856
111,111,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,4,3,4,4,4,3.7142857142857144
113,113,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,3,4,4,4,3,4,3.7142857142857144
117,117,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,3,4,4,4,3,4,3.7142857142857144
118,118,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,4,4,4,4,4,4,4.0
120,120,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3,2,3,2,3,2,2,2.4285714285714284
121,121,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
126,126,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,5,5,4,4,5,4.428571428571429
127,127,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,3,4,4,4,3,4,3.7142857142857144
128,128,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,4,4,4,3,4,3.7142857142857144
130,130,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,4,4,4,3.857142857142857
133,133,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
134,134,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,2,2,2,2,2,2,2.0
135,135,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3,2,2,2,3,2,2,2.2857142857142856
136,136,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,4,4,4,4,4,4,4.0
137,137,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,2,2,2,2,2,2,2.0
138,138,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,4,4,4,3.857142857142857
139,139,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,2,4,4,3,2,4,3.2857142857142856
141,141,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,4,5,5,4,4,5,4.428571428571429
143,143,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3,4,4,4,4,3,3,3.5714285714285716
145,145,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2,2,2,2,2,2,2,2.0
146,146,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,3,3,3,3,3,3,3.0
149,149,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,1,2,1,1,1,2,1,1.2857142857142858
153,153,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,2,2,2,2,2,2,2.0
154,154,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,4,5,5,4,3,5,4.285714285714286
157,157,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
158,158,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,4,4,4,4,4,4,4.0
159,159,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
160,160,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,5,4,5,5,5,4,5,4.714285714285714
161,161,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
162,162,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,4,3,4,3.7142857142857144
163,163,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,4,4,4,4,3,4,3.857142857142857
164,164,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,4,3,4,3,3,3.4285714285714284
168,168,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,3,3,2,3,3,3,2.7142857142857144
169,169,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,4,4,4,4,4,4,3.857142857142857
170,170,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,3,3,2,3,3,3,2.7142857142857144
171,171,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,4,3,4,3,4,3.5714285714285716
177,177,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,2,3,2,2,2,2,2.142857142857143
179,179,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,4,4,4,4,4,4.0
183,183,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2,3,3,2,3,3,2,2.5714285714285716
186,186,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,1,2,1,1,1,2,1,1.2857142857142858
188,188,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
189,189,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,2,3,3,2,3,3,2,2.5714285714285716
