,Title,Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
47,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3,4,4,3,4,4,4,3.7142857142857144
48,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,5,4,5,5,5,4,5,4.714285714285714
49,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,5,4,5,5,5,4,5,4.714285714285714
50,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,5,4,5,5,5,4,5,4.714285714285714
51,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,3,3,4,4,3,3.5714285714285716
52,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,3,3,3,3.4285714285714284
53,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,4,3,4,3.7142857142857144
54,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
55,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
56,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
57,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,3,3,4,3,4,3.4285714285714284
58,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,4,4,5,4.571428571428571
59,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
60,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,5,4,5,4.714285714285714
61,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3,2,3,3,2,2,3,2.5714285714285716
62,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,4,4,5,4.571428571428571
63,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,3,3,3,3,3,3.142857142857143
64,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,4,4,3.857142857142857
65,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,3,4,4,3,3,4,3.4285714285714284
66,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,4,5,5,4,4,5,4.428571428571429
67,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,2,2,2,3,3,3,2.5714285714285716
68,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,4,4,4,4,4,4,4.0
69,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,3,4,4,4,3,4,3.7142857142857144
70,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,5,4,5,5,4,4,5,4.571428571428571
71,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,3,2,2,3,3,2,2.5714285714285716
72,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,4,4,4,4,4,4,4.0
73,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,4,3,3,4,4,4,3.5714285714285716
74,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,4,3,3,3,3,3,3.142857142857143
75,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,2,2,2,3,2,2.2857142857142856
76,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,4,5,5,4,4,5,4.571428571428571
77,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,3,4,4,4,4,3.7142857142857144
78,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,4,3,3,4,3,4,3.5714285714285716
79,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,4,4,4,3,4,3.7142857142857144
80,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,4,5,5,4,4,5,4.571428571428571
81,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,4,5,5,4,4,5,4.571428571428571
82,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,4,5,5,4,4,5,4.571428571428571
83,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,4,5,5,4,4,5,4.571428571428571
84,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,4,4,4,3,4,3.7142857142857144
85,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,3,3,3,3,4,3.2857142857142856
86,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,4,4,4,3,4,3.7142857142857144
87,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,4,3,3,3,4,3,4,3.4285714285714284
88,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,4,3,4,4,4,4,4,3.857142857142857
89,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,4,3,4,4,4,4,4,3.857142857142857
90,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,5,5,5,5,5,5,5,5.0
91,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,4,3,4,4,4,3,4,3.7142857142857144
92,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,5,4,5,5,4,4,5,4.571428571428571
93,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,5,4,5,5,4,4,5,4.571428571428571
94,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,5,4,5,5,4,4,5,4.571428571428571
95,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,4,3,4,4,4,4,4,3.857142857142857
96,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,5,4,5,5,4,4,5,4.571428571428571
97,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,4,3,4,4,4,4,4,3.857142857142857
98,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,4,4,4,4,4,4,4,4.0
99,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,4,3,4,4,4,3,4,3.7142857142857144
100,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,5,4,5,5,5,4,5,4.714285714285714
101,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,5,4,5,5,4,4,5,4.571428571428571
102,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,3,2,2,2,2,2,2,2.142857142857143
103,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,3,2,2,2,2,2,2,2.142857142857143
104,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,5,4,5,5,4,4,5,4.571428571428571
105,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,4,3,3,3,3,3,4,3.2857142857142856
106,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,3,2,2,2,2,2,2,2.142857142857143
107,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,4,3,4,4,4,3,4,3.7142857142857144
108,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,2,2,2,2,2,2,2,2.0
109,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,5,3,5,5,4,4,5,4.428571428571429
110,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,4,3,3,3,4,3,4,3.4285714285714284
111,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,2,2,2,2,2,2,2,2.0
112,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,3,2,2,2,2,2,2,2.142857142857143
113,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,4,3,4,4,4,4,4,3.857142857142857
114,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,3,2,2,2,2,2,3,2.2857142857142856
115,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,2,2,2,2,2,2,2,2.0
116,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,4,3,4,4,4,3,3,3.5714285714285716
117,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,4,3,4,4,4,3,4,3.7142857142857144
118,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,5,5,5,4,5,4.571428571428571
119,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,1,5,5,5,5,5,5,4.428571428571429
120,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
121,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,3,3,3,3,3,3,2.857142857142857
122,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,4,4,4,4,4,4,3.7142857142857144
123,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,5,5,5,5,5,5,5.0
124,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,3,4,4,4,3,4,3.7142857142857144
125,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,5,5,4,4,5,4.428571428571429
126,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,5,5,5,5,5,5,4.857142857142857
127,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
128,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,4,3,4,3,3,3.142857142857143
129,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
130,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,5,5,4,5,4.714285714285714
131,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,4,3,3,4,3,4,3.2857142857142856
132,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,3,4,4,4,3,4,3.7142857142857144
133,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,5,4,4,5,4.571428571428571
134,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,5,4,5,5,5,4,5,4.714285714285714
135,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,4,4,4,4,4,4,4.0
136,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,4,4,4,4,4,3.857142857142857
137,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,4,4,4,4,4,4,3.7142857142857144
138,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,5,4,5,5,5,4,5,4.714285714285714
139,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,4,4,4,4,4,4,3.857142857142857
140,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,4,4,4,4,4,3.857142857142857
141,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,3,4,4,4,4,4,3.7142857142857144
142,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,3,3,3,3,3,3,2.857142857142857
143,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,4,5,5,4,4,5,4.428571428571429
144,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,5,5,5,5,5,5,5,5.0
145,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3,4,4,4,4,4,4,3.857142857142857
146,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
147,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,5,5,5,4,5,4.571428571428571
148,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,5,5,4,4,5,4.428571428571429
149,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3,3,4,3,3,3,3,3.142857142857143
150,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,4,3,4,3.7142857142857144
151,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2,4,4,4,4,4,4,3.7142857142857144
152,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,5,5,4,4,5,4.428571428571429
153,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2,3,3,3,3,3,3,2.857142857142857
154,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,4,4,3.857142857142857
155,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,4,4,5,4.571428571428571
156,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
157,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
158,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3,4,4,4,4,4,4,3.857142857142857
159,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,4,5,5,4,4,5,4.428571428571429
160,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,4,4,3.857142857142857
161,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
162,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,3,4,3.7142857142857144
163,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,4,4,5,4.571428571428571
164,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,4,5,5,4,4,5,4.571428571428571
165,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2,3,4,3,3,3,4,3.142857142857143
166,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,4,4,3,3,4,3.5714285714285716
167,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2,4,4,4,4,4,4,3.7142857142857144
168,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,4,5,5,5,5,5,4.857142857142857
169,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3,2,3,3,3,2,3,2.7142857142857144
170,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,5,3,5,5,4,4,5,4.428571428571429
171,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2,4,4,4,4,4,4,3.7142857142857144
172,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2,4,4,4,3,3,4,3.4285714285714284
173,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3,3,4,4,4,4,4,3.7142857142857144
174,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,4,4,4,4,4,4,4.0
175,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3,4,4,4,4,4,4,3.857142857142857
176,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,5,4,5,5,4,4,5,4.571428571428571
177,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,5,4,5,5,5,4,5,4.714285714285714
178,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,5,4,5,5,4,4,5,4.571428571428571
179,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,2,3,2,2,2,3,2.2857142857142856
180,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,4,4,4,4,4,4,4.0
181,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,4,2,3,3,3,2.857142857142857
182,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,2,3,2,2,2,2,2.142857142857143
183,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,4,3,3,3,4,3.142857142857143
184,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,2,2,2,2,2,2,2.0
185,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,3,4,4,3,4,4,3.5714285714285716
186,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,3,4,4,4,3,4,3.7142857142857144
187,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,3,2,3,3,3,2.7142857142857144
188,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,1,4,4,4,4,4,4,3.5714285714285716
189,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,1,3,4,2,2,3,2,2.4285714285714284
190,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,3,4,4,4,3,4,3.7142857142857144
191,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3,2,3,3,3,3,3,2.857142857142857
192,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,2,3,2,2,2,2,2.142857142857143
193,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,5,3,5,5,4,4,5,4.428571428571429
194,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,3,4,4,4,3,4,3.7142857142857144
195,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3,3,3,3,3,3,3,3.0
196,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,5,4,5,5,5,4,5,4.714285714285714
197,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,3,4,4,4,4,4,3.857142857142857
198,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,2,3,3,2,2,2,2.2857142857142856
